Metric,Value
FLOPs,15.52 GMac
Parameters,134.67 M
Model Size (MB),513.7374744415283
Training Losses
,3.9358299056237396
,3.5526567020199518
,3.20054869082841
,2.9013917500322517
,2.627653222869743
,2.4017907198179853
,2.1761932129209693
,1.9706073569303209
,1.7712309777059339
,1.5991895947266708
,1.4216431171040644
,1.2496629602868448
,1.102082784202966
,0.9486136312850497
,0.8120572655885057
,0.7184411216188561
,0.6230088198049502
,0.547024839642373
,0.469116154931147
,0.40713094450025394
,0.37620778650638054
,0.3379313069480387
,0.3011354575018314
,0.2824338043574244
,0.25919596160846675
,0.2388054956470362
,0.21813183785839516
,0.20596707804890518
,0.1927507996601476
,0.1872314426053146
,0.17563620417124845
,0.17425696870354426
,0.16835200559051539
,0.1561234417075122
,0.1519819257399914
,0.15258438778321512
,0.1460245420193215
,0.14488423797725278
,0.1409036459173711
,0.1348020103125071
,0.12456608622398396
,0.13340253351436165
,0.13007756194565445
,0.11500442641342735
,0.119344806735171
,0.11645464555212212
,0.11914371096380902
,0.1253656621530271
,0.11734835625181651
,0.12253113658781248
,0.11421588775490156
,0.11023054532283409
,0.10819478213141503
,0.12295116299488158
,0.10949341782940213
,0.10806020146860233
,0.112989929163384
,0.10522461102862674
,0.11392262143040584
,0.11636910356835208
,0.10709064308321103
,0.1095612951903604
,0.11095538459697062
,0.10921482969900932
,0.10669386527098884
,0.11681844055948948
,0.1088651932712475
,0.11568629890891978
,0.1092143767296379
,0.11140912333344617
,0.11065114659934559
,0.10695787116789936
,0.11203353735882873
,0.10453758680589752
,0.10917894529517401
,0.10788885234135458
,0.10545180300356481
,0.10001161254265091
,0.09736721456812863
,0.10604398371916349
,0.10764009787817486
,0.10261150571221317
,0.10342997092944146
,0.11549698065606538
,0.11632762571521611
,0.1105470818954266
,0.11140732346790504
,0.10740404086854224
,0.10261105868002315
,0.09843106182895346
,0.10411272491910495
,0.10546627183264884
,0.09739167155930772
,0.10112558237134098
,0.10494703071890399
,0.09785216945138844
,0.10426905258579856
,0.09998396997318858
,0.09808587766019627
,0.10288621224357154
Validation Losses
,3.690320199728012
,3.3163751482963564
,2.9476462841033935
,2.7289374351501463
,2.412290671467781
,2.382252836227417
,2.148632773756981
,1.983405703306198
,1.9089186549186707
,1.8690641701221467
,1.883249118924141
,1.8224855035543441
,1.8885404378175736
,1.877401703596115
,1.8826051473617553
,1.884067165851593
,2.183265705406666
,1.9182474568486214
,1.9788600116968156
,2.0191406667232514
,1.9546235129237175
,1.967026449739933
,2.208807072043419
,2.063627277314663
,2.1519943505525587
,2.253420853614807
,2.1544192254543306
,2.2128865301609038
,2.2382287666201592
,2.157237136363983
,2.330530069768429
,2.389159619808197
,2.1053176671266556
,2.1477966248989104
,2.1367863804101943
,2.199167400598526
,2.309218780696392
,2.456072583794594
,2.1855550736188887
,2.3555408120155334
,2.414116641879082
,2.423106864094734
,2.1602097928524016
,2.290498372912407
,2.4371229469776154
,2.461952539533377
,2.3282822161912917
,2.2739156514406202
,2.2778156489133834
,2.1811121195554732
,2.4297580063343047
,2.213160428404808
,2.484101140499115
,2.3000537157058716
,2.2067515701055527
,2.295832361280918
,2.0535428792238237
,2.4736933410167694
,2.3024640560150145
,2.5212484657764436
,2.385410436987877
,2.4755796670913695
,2.5258069574832915
,2.431633009016514
,2.3675628036260603
,2.462172780930996
,2.691438853740692
,2.312494234740734
,2.271931251883507
,2.40369443744421
,2.2540203869342803
,2.2830354154109953
,2.501562511920929
,2.5013808637857435
,2.2348281711339952
,2.2796424686908723
,2.341591238975525
,2.260522210597992
,2.3933251976966856
,2.2515699803829192
,2.3151672184467316
,2.4879105746746064
,2.3012739956378936
,2.48859845995903
,2.514247554540634
,2.2469730019569396
,2.4402482122182847
,2.423041898012161
,2.270236721634865
,2.475977861881256
,2.1698900520801545
,2.3517396703362463
,2.2523805826902388
,2.243939810991287
,2.4593256771564485
,2.4098963171243666
,2.429169178009033
,2.3120966821908953
,2.4211061865091326
,2.2630204647779464
Training Accuracies
,9.442222222222222
,15.455555555555556
,21.76888888888889
,27.564444444444444
,33.01555555555556
,37.87555555555556
,42.63111111111111
,47.42666666666667
,51.72888888888889
,56.028888888888886
,60.28888888888889
,64.75555555555556
,68.70444444444445
,72.59333333333333
,76.56222222222222
,79.03111111111112
,81.56666666666666
,83.79777777777778
,86.05555555555556
,87.8488888888889
,88.75111111111111
,89.8711111111111
,90.82666666666667
,91.46
,92.17555555555556
,92.83777777777777
,93.39333333333333
,93.83111111111111
,94.30222222222223
,94.36666666666666
,94.76666666666667
,94.7088888888889
,95.00444444444445
,95.38222222222223
,95.5111111111111
,95.43777777777778
,95.67111111111112
,95.58888888888889
,95.8488888888889
,96.04888888888888
,96.1511111111111
,96.13111111111111
,96.31333333333333
,96.51555555555555
,96.51777777777778
,96.56222222222222
,96.45333333333333
,96.28666666666666
,96.48222222222222
,96.35777777777778
,96.67333333333333
,96.93777777777778
,96.76666666666667
,96.33555555555556
,96.81555555555556
,96.81333333333333
,96.73555555555555
,96.86222222222223
,96.66888888888889
,96.61777777777777
,96.94444444444444
,96.74
,96.62
,96.7688888888889
,96.89111111111112
,96.56222222222222
,96.82888888888888
,96.62666666666667
,96.88666666666667
,96.7088888888889
,96.68888888888888
,96.9088888888889
,96.68222222222222
,96.87777777777778
,96.90666666666667
,96.86888888888889
,96.92222222222222
,97.11555555555556
,97.15777777777778
,96.99111111111111
,96.91555555555556
,97.0111111111111
,96.93333333333334
,96.65777777777778
,96.66444444444444
,96.68444444444444
,96.68222222222222
,96.88666666666667
,97.11777777777777
,97.15555555555555
,97.03555555555556
,96.85333333333334
,97.1511111111111
,97.03333333333333
,96.94222222222223
,97.20222222222222
,96.92
,97.07333333333334
,97.19777777777777
,97.10222222222222
Validation Accuracies
,13.18
,19.92
,26.36
,31.96
,37.86
,38.22
,44.82
,47.04
,48.34
,49.38
,50.42
,51.6
,51.94
,51.4
,52.54
,52.56
,50.94
,53.74
,52.66
,52.38
,52.82
,53.26
,54.12
,54.12
,53.32
,53.36
,53.1
,52.94
,53.64
,53.56
,53.4
,53.62
,53.56
,53.8
,53.68
,53.38
,51.38
,52.82
,54.18
,54.6
,54.34
,53.14
,53.58
,54.2
,52.72
,53.4
,52.8
,53.16
,53.52
,54.6
,53.36
,52.14
,53.4
,52.78
,53.22
,52.3
,53.46
,52.76
,52.98
,52.64
,53.38
,53.12
,52.86
,53.0
,52.64
,52.76
,52.44
,51.82
,53.48
,53.1
,51.52
,52.9
,52.48
,52.66
,52.98
,52.9
,52.3
,52.38
,52.04
,52.48
,52.38
,52.6
,52.1
,51.4
,51.0
,52.84
,51.5
,52.12
,51.44
,52.18
,52.54
,51.54
,52.24
,52.58
,52.66
,51.7
,52.18
,51.34
,52.44
,51.64
Epoch Times
,356.79412865638733
,206.34763646125793
,207.06865525245667
,294.64699268341064
,207.02531456947327
,206.69055843353271
,206.94482469558716
,207.17012906074524
,206.9135971069336
,207.83704900741577
,208.1573944091797
,213.69944763183594
,213.03786826133728
,213.83227705955505
,213.35193014144897
,215.22410035133362
,214.0761103630066
,214.5692970752716
,212.94962191581726
,214.96719074249268
,213.07060933113098
,212.64933323860168
,328.0968191623688
,205.89573001861572
,206.9469907283783
,207.32672882080078
,206.42617201805115
,207.2572479248047
,206.73525595664978
,206.30943894386292
,340.63777446746826
,206.98232889175415
,206.11147809028625
,212.2850465774536
,206.9478166103363
,206.67987966537476
,206.4761323928833
,206.49313950538635
,231.32102155685425
,207.23338055610657
,208.07081174850464
,596.5259091854095
,205.7471821308136
,207.92762637138367
,207.27413415908813
,207.21344208717346
,207.6159815788269
,217.70216012001038
,219.78797364234924
,353.98865127563477
,207.2587764263153
,206.10948300361633
,206.76990389823914
,206.5027859210968
,206.73399186134338
,207.353942155838
,206.66085410118103
,207.3371238708496
,206.73728966712952
,207.8453803062439
,207.57696318626404
,208.74119472503662
,207.95514798164368
,207.1868920326233
,207.07275438308716
,206.53406858444214
,207.2691206932068
,206.75706243515015
,206.61851048469543
,206.0456748008728
,208.10761189460754
,208.89151668548584
,209.19144105911255
,208.60491061210632
,207.59087800979614
,208.77251958847046
,206.98033666610718
,207.78066086769104
,208.73546600341797
,207.30044078826904
,208.18458080291748
,207.25089740753174
,207.60687112808228
,208.06480646133423
,211.48048329353333
,207.50762128829956
,207.46349000930786
,207.40532612800598
,206.98380613327026
,207.96424221992493
,319.1672406196594
,206.39060425758362
,210.2664439678192
,206.3302686214447
,207.89677143096924
,206.53213620185852
,208.44771528244019
,280.80184745788574
,206.21286034584045
,206.76375651359558
